site,sample,rep,cq,conc,copies,pa_edna
08,01,2,40.65159546491135,4.887829541124615e-5,566048.2634236732,1
08,01,3,41.89600611463577,2.067863479042282e-5,239474.4991536269,1
08,02,1,NA,NA,NA,0
08,02,2,43.67483413579272,6.046249765145453e-6,70020.22372079117,1
08,02,3,43.311572516868424,7.772194784938087e-6,90007.99483675305,1
08,03,1,NA,NA,NA,0
08,03,2,NA,NA,NA,0
08,03,3,NA,NA,NA,0
08,04,1,NA,NA,NA,0
08,04,2,NA,NA,NA,0
08,04,3,43.19795649782944,8.40723571531395e-6,97362.25735384368,1
08,05,1,NA,NA,NA,0
08,05,2,NA,NA,NA,0
08,05,3,NA,NA,NA,0
09,01,1,NA,NA,NA,0
09,01,2,40.47461521024003,5.5239363918040435e-5,639714.3303659641,1
09,01,3,42.985425711659346,9.737752731543883e-6,112770.66798183207,1
09,02,1,NA,NA,NA,0
09,02,2,NA,NA,NA,0
09,02,3,44.678856417265564,3.0203742172758438e-6,34978.25704014336,1
09,03,1,NA,NA,NA,0
09,03,2,NA,NA,NA,0
09,03,3,NA,NA,NA,0
09,04,1,42.80472575067037,1.1033367439013532e-5,127774.8830236812,1
09,04,2,43.154030890911514,8.666434752933945e-6,100363.98161389487,1
09,04,3,40.10225079178559,7.145606293849384e-5,827516.1806915379,1
09,05,1,NA,NA,NA,0
09,05,2,NA,NA,NA,0
09,05,3,NA,NA,NA,0
10,01,1,38.286962623089195,2.506229557926265e-4,2902406.634824736,1
10,01,2,37.155868044608894,5.477665881863464e-4,6343558.493511849,1
10,01,3,36.77788482097944,7.113327731375132e-4,8237780.748348105,1
10,02,1,42.364204440841505,1.496099253597061e-5,173259.80320770753,1
10,02,2,41.85312225102092,2.1300821890040952e-5,246679.90442196245,1
10,02,3,NA,NA,NA,0
10,03,1,41.51132696896332,2.697797686699378e-5,312425.7265471715,1
10,03,2,41.45573728622851,2.80348597926216e-5,324665.2438965452,1
10,03,3,43.12191257973919,8.861004546860967e-6,102617.24951205796,1
10,04,1,NA,NA,NA,0
10,04,2,NA,NA,NA,0
10,04,3,NA,NA,NA,0
10,05,1,42.180324944922745,1.6988862377953418e-5,196744.09603841658,1
10,05,2,41.45047191650849,2.813708781520305e-5,325849.12304307846,1
10,05,3,41.64425119542889,2.460952114590606e-5,284997.1872203049,1
11,01,1,NA,NA,NA,0
11,01,2,NA,NA,NA,0
11,01,3,NA,NA,NA,0
11,02,1,NA,NA,NA,0
11,02,2,NA,NA,NA,0
11,02,3,NA,NA,NA,0
11,03,1,NA,NA,NA,0
11,03,2,NA,NA,NA,0
11,03,3,NA,NA,NA,0
11,04,1,NA,NA,NA,0
11,04,2,NA,NA,NA,0
11,04,3,NA,NA,NA,0
11,05,1,NA,NA,NA,0
11,05,2,NA,NA,NA,0
11,05,3,NA,NA,NA,0
12,01,1,NA,NA,NA,0
12,01,2,NA,NA,NA,0
12,01,3,NA,NA,NA,0
12,02,1,NA,NA,NA,0
12,02,2,NA,NA,NA,0
12,02,3,NA,NA,NA,0
12,03,1,NA,NA,NA,0
12,03,2,NA,NA,NA,0
12,03,3,NA,NA,NA,0
12,04,1,NA,NA,NA,0
12,04,2,NA,NA,NA,0
12,04,3,NA,NA,NA,0
12,05,1,NA,NA,NA,0
12,05,2,NA,NA,NA,0
12,05,3,NA,NA,NA,0
13,01,1,NA,NA,NA,0
13,01,2,NA,NA,NA,0
13,01,3,NA,NA,NA,0
13,02,1,NA,NA,NA,0
13,02,2,NA,NA,NA,0
13,02,3,44.84562187082962,2.6915025894269215e-6,31169.670585420823,1
13,03,1,NA,NA,NA,0
13,03,2,NA,NA,NA,0
13,03,3,NA,NA,NA,0
13,04,1,NA,NA,NA,0
13,04,2,NA,NA,NA,0
13,04,3,NA,NA,NA,0
13,05,1,NA,NA,NA,0
13,05,2,NA,NA,NA,0
13,05,3,NA,NA,NA,0
14,01,1,39.649162026784154,9.773821022933644e-5,1131883.6654382274,1
14,01,2,39.81973386435662,8.686717248582199e-5,1005988.6851702838,1
14,01,3,39.42830362835315,1.1385969014876258e-4,1318582.805320899,1
14,02,1,40.2702133615075,6.362294031068234e-5,736802.594561912,1
14,02,2,39.69104327834202,9.494910734587849e-5,1099583.7083630452,1
14,02,3,37.87290734396093,3.3367801993274747e-4,3864248.1726587303,1
14,03,1,39.957087986504504,7.899862593326447e-5,914864.8627401192,1
14,03,2,40.77633464132292,4.4840158042143775e-5,519283.5261100083,1
14,03,3,39.895860148721475,8.241404344736634e-5,954418.0250682668,1
14,04,1,NA,NA,NA,0
14,04,2,43.10494933385947,8.965522963136944e-6,103827.65317959659,1
14,04,3,47.28556395850896,4.982884635212185e-7,5770.563745873582,1
14,05,1,NA,NA,NA,0
14,05,2,38.31913130527885,2.45111245998219e-4,2838576.795192035,1
14,05,3,38.36419118049568,2.3759399634718496e-4,2751521.2611377314,1
15,01,1,NA,NA,NA,0
15,01,2,NA,NA,NA,0
15,01,3,NA,NA,NA,0
15,02,1,45.579446944230774,1.620643440447371e-6,18768.297817585728,1
15,02,2,42.12746862827109,1.7621087336376947e-5,204065.7474339438,1
15,02,3,44.66586662960814,3.0476179260657648e-6,35293.760146788256,1
15,03,1,NA,NA,NA,0
15,03,2,NA,NA,NA,0
15,03,3,NA,NA,NA,0
15,04,1,NA,NA,NA,0
15,04,2,41.36394239261938,2.987148729701734e-5,345934.80333335325,1
15,04,3,42.73762924860115,1.1557173781398102e-5,133840.96343795178,1
15,05,1,42.49305611895822,1.368600968394622e-5,158494.5209242072,1
15,05,2,42.95870005686038,9.919328174892041e-6,114873.45130360805,1
15,05,3,NA,NA,NA,0
16,01,1,43.547004547498204,6.604847541291606e-6,76489.21570341878,1
16,01,2,42.36866493424431,1.4914932316638632e-5,172726.39043325587,1
16,01,3,41.44827690803751,2.8179814279961644e-5,326343.9283748795,1
16,02,1,43.60304516812194,6.353871204025636e-6,73582.71663927282,1
16,02,2,NA,NA,NA,0
16,02,3,NA,NA,NA,0
16,03,1,NA,NA,NA,0
16,03,2,NA,NA,NA,0
16,03,3,NA,NA,NA,0
16,04,1,NA,NA,NA,0
16,04,2,NA,NA,NA,0
16,04,3,NA,NA,NA,0
16,05,1,42.39881898285,1.460725146348399e-5,169163.20945176797,1
16,05,2,NA,NA,NA,0
16,05,3,42.16260494311568,1.7198246037834478e-5,199168.91990078264,1
17,01,1,NA,NA,NA,0
17,01,2,42.4049775692438,1.454519636131447e-5,168444.56362903427,1
17,01,3,43.412392552572186,7.2489601130754385e-6,83948.53480691816,1
17,02,1,NA,NA,NA,0
17,02,2,NA,NA,NA,0
17,02,3,42.379218630915716,1.4806515978165261e-5,171470.84582796087,1
17,03,1,NA,NA,NA,0
